Shock Displacement (mm),Contact Patch Z-axis Position (mm),Camber (deg),Toe (deg)
-5.000000000000028,15.929971540643606,0.5241411895053592,0.3337915221074799
-4.80000000000004,15.229309384073204,0.5015082489163403,0.31441105311553935
-4.599999999999994,14.534295912973647,0.4790425125573752,0.2955996823647913
-4.400000000000091,13.844880922280879,0.4567396408848965,0.2773479972070708
-4.2000000000000455,13.161014638605195,0.4345954525480816,0.2596466275624538
-4.000000000000057,12.482647960637536,0.4126058894575189,0.24248636316335614
-3.799999999999983,11.80973244443669,0.3907670134798161,0.22585814982106964
-3.5999999999999943,11.142220289198264,0.36907500323439807,0.20975308580954422
-3.400000000000034,10.48006432348376,0.3475261509888428,0.19416241835791073
-3.1999999999999886,9.823217991891724,0.3261168596485522,0.1790775402535547
-3.0000000000000284,9.171635342153053,0.3048436398381948,0.16448998654273259
-2.80000000000004,8.525271012632032,0.2837031070702621,0.15039143133663402
-2.5999999999999943,7.884080220219559,0.2626919789987632,0.13677368470688495
-2.4000000000000625,7.248018748600501,0.24180707275409155,0.12362868967684279
-2.200000000000017,6.617042936881418,0.22104530235665354,0.11094851929859152
-2.0,5.991109668565741,0.2004036762057056,0.09872537381836415
-1.8000000000000966,5.3701763608599435,0.17987929464207708,0.08695157792061915
-1.6000000000000796,4.7542009543007,0.15946934758044468,0.07561957805357476
-1.4000000000000057,4.143141902690715,0.13917111221003214,0.0647219398304937
-1.200000000000074,3.5369581633283786,0.11898195076079685,0.05425134550480482
-1.0000000000001137,2.935609187525344,0.09889930833261663,0.04420059151601999
-0.8000000000000114,2.3390549113942996,0.0789207107860582,0.03456258610502951
-0.6000000000000796,1.747255746904841,0.05904376269185684,0.02533034699430033
-0.4000000000000057,1.1601725731911756,0.039266145337382236,0.016496999133950606
-0.20000000000004547,0.5777667281045211,0.01958561478814682,0.008055772507547842
0.0,3.666400516522117e-12,2.8233085046953724e-12,-1.1791453549213366e-13
0.19999999999998863,-0.573165380229895,-0.019492799000714985,-0.007676884679272684
0.399999999999892,-1.141766746955966,-0.03889481292915195,-0.01498134901568851
0.5999999999999943,-1.705841007328118,-0.05820800495010129,-0.02191976365475152
0.7999999999999261,-2.265424648642991,-0.07743427238097549,-0.028498404317269868
1.0,-2.820553745492873,-0.09657544833374127,-0.03472345366143144
1.1999999999999602,-3.3712639667282502,-0.11563330331555911,-0.040601003098189876
1.3999999999999488,-3.9175905822371817,-0.13460954678775877,-0.04613705455679544
1.599999999999966,-4.459568469547577,-0.15350582868343637,-0.051337522208459746
1.799999999999983,-4.997232120260321,-0.17232374088598196,-0.05620823414174883
1.9999999999999432,-5.5306156463139615,-0.19106481866911643,-0.06075493399833111
2.1999999999999886,-6.059752786094265,-0.20973054209997408,-0.06498328256428369
2.400000000000034,-6.584676910387046,-0.22832233740645122,-0.06889885932344528
2.599999999999966,-7.105421028182519,-0.24684157830921788,-0.07250716397125954
2.799999999999983,-7.622017792336933,-0.26528958732052693,-0.0758136178898813
2.9999999999999716,-8.134499505093729,-0.2836676370102707,-0.07882356558731993
3.1999999999999886,-8.642898123470516,-0.3019769512398637,-0.08154227610192274
3.399999999999949,-9.147245264516613,-0.32021870636617283,-0.0839749443701786
3.5999999999999943,-9.64757221044404,-0.3383940324148769,-0.08612669256413788
3.7999999999999545,-10.143909913635838,-0.3565040142254215,-0.08800257139339525
4.0,-10.636289001537818,-0.37454969256756276,-0.08960756137794249
4.199999999999989,-11.124739781435167,-0.39253206523095674,-0.09094657408950912
4.400000000000034,-11.60929224511824,-0.41045208808820705,-0.09202445336250899
4.5999999999999375,-12.089976073441733,-0.42831067613206186,-0.09284597647878651
4.80000000000004,-12.566820640779412,-0.4461087044880831,-0.09341585532124738
5.0,-13.039855019378791,-0.46384700940260093,-0.09373873750295365
