,Velocity,Yaw_Rate,Body_Slip,Steer_Angle,Throttle,Ax,Ay,Yaw_Acceleration
0,90.0,0.0,-8.0,-15.0,0.0,-2.7290376409829413,0.7237905238541631,33.59076293562276
1,90.0,0.0,-8.0,-13.96551724137931,0.0,-2.2685315983370424,1.831053756124528,31.86830898444107
2,90.0,0.0,-8.0,-12.931034482758621,0.0,-1.8117387444093715,3.100179846331211,29.88649834719044
3,90.0,0.0,-8.0,-11.89655172413793,0.0,-1.3673130703782692,4.529770982207729,27.640670078674884
4,90.0,0.0,-8.0,-10.862068965517242,0.0,-0.9458758094780461,6.107963526631397,25.141553526594677
5,90.0,0.0,-8.0,-9.827586206896552,0.0,-0.5594058472898785,7.810785967704535,22.418331729691037
6,90.0,0.0,-8.0,-8.793103448275861,0.0,-0.22035237679796146,9.601181492463777,19.520996989689475
7,90.0,0.0,-8.0,-7.758620689655172,0.0,0.05939571386910711,11.428287285028423,16.522830025947965
8,90.0,0.0,-8.0,-6.724137931034482,0.0,0.26973613547225267,13.22757041221299,13.522262027997405
9,90.0,0.0,-8.0,-5.689655172413792,0.0,0.4040551654249093,14.92529360541336,10.63826621468629
10,90.0,0.0,-8.0,-4.655172413793103,0.0,0.4613211165942149,16.452256650047563,7.989672972655789
11,90.0,0.0,-8.0,-3.620689655172413,0.0,0.4472135359298862,17.7641761726871,5.660309821700007
12,90.0,0.0,-8.0,-2.5862068965517224,0.0,0.3725875889363092,18.853308836516618,3.6752688615735694
13,90.0,0.0,-8.0,-1.5517241379310338,0.0,0.2499583740235721,19.74091524475994,2.0091367989049913
14,90.0,0.0,-8.0,-0.5172413793103434,0.0,0.09058659112548562,20.46021873292998,0.6129577841394686
15,90.0,0.0,-8.0,0.5172413793103452,0.0,-0.09661342885162615,21.04376962861541,-0.5639664170073376
16,90.0,0.0,-8.0,1.5517241379310356,0.0,-0.3049403521500308,21.518519254024607,-1.5647068788573897
17,90.0,0.0,-8.0,2.586206896551726,0.0,-0.5294001804235484,21.90543812271526,-2.4232698209098307
18,90.0,0.0,-8.0,3.6206896551724164,0.0,-0.7662371993978111,22.22063783221458,-3.1660426378734976
19,90.0,0.0,-8.0,4.655172413793103,0.0,-1.0125918429918797,22.476607395490287,-3.8136494977417277
20,90.0,0.0,-8.0,5.689655172413794,0.0,-1.2662657336518872,22.683179110295036,-4.382457155223946
21,90.0,0.0,-8.0,6.724137931034484,0.0,-1.5255587587814392,22.84820887201982,-4.8856546633129065
22,90.0,0.0,-8.0,7.758620689655174,0.0,-1.7891521505577233,22.978051602928957,-5.333996326604232
23,90.0,0.0,-8.0,8.793103448275865,0.0,-2.0560215286211903,23.077890554388965,-5.7363316860626705
24,90.0,0.0,-8.0,9.827586206896555,0.0,-2.3253705668243247,23.151980574033523,-6.099984439269331
25,90.0,0.0,-8.0,10.862068965517242,0.0,-2.5965795978526827,23.203829430321633,-6.431039787219777
26,90.0,0.0,-8.0,11.896551724137932,0.0,-2.8691655089934724,23.236338301676795,-6.734567331240956
27,90.0,0.0,-8.0,12.931034482758623,0.0,-3.1427503765635003,23.25191277738214,-7.014798482397804
28,90.0,0.0,-8.0,13.965517241379313,0.0,-3.4170369435741614,23.252551849731002,-7.275270000701636
29,90.0,0.0,-8.0,15.0,0.0,-3.691789476827759,23.239919940329987,-7.518941338050034
30,90.0,0.0,-7.448275862068965,-15.0,0.0,-2.868343697526798,-0.25225450978123254,33.71929804786931
31,90.0,0.0,-7.448275862068965,-13.96551724137931,0.0,-2.4189636824857104,0.7688997529282883,32.1283438121399
32,90.0,0.0,-7.448275862068965,-12.931034482758621,0.0,-1.9709136973533585,1.950426812511598,30.285497747829304
33,90.0,0.0,-7.448275862068965,-11.89655172413793,0.0,-1.5317421002554215,3.2958830060929047,28.17969880462659
34,90.0,0.0,-7.448275862068965,-10.862068965517242,0.0,-1.1110885778279576,4.799403876740039,25.813532069040942
35,90.0,0.0,-7.448275862068965,-9.827586206896552,0.0,-0.7202415262533982,6.443583899101178,23.206822302471455
